Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
1,sudoku,2026-03-30 20:29:35,708484,122815,20255,23845,4645,17137,18017,3196
1,sudoku,2026-03-30 20:29:35,26013,30542,14298,31435,10399,7564,7518,3376
1,sudoku,2026-03-30 20:29:36,15198,70167,19525,24168,6230,13409,11151,5381
1,sudoku,2026-03-30 20:29:38,1124590,218879,33909,9770,8406,7673,2251,1772
1,sudoku,2026-03-30 20:29:38,106300,832,202,752,1326,445,235,193
1,sudoku,2026-03-30 20:29:39,65167,11895,4210,3446,6378,3765,2950,2673
1,sudoku,2026-03-30 20:29:44,466800,259222,40960,24825,24537,8684,5976,4220
1,sudoku,2026-03-30 20:29:45,6687,11134,9114,6347,2795,1630,2293,595
1,sudoku,2026-03-30 20:29:46,138021,16014,3303,2385,8876,3989,3693,593
1,sudoku,2026-03-30 20:29:47,142321,22648,9283,2204,1477,1947,782,384
1,sudoku,2026-03-30 20:29:48,17049,6771,2301,2672,2233,2642,1990,1710
1,sudoku,2026-03-30 20:29:49,3168,12391,626,953,4256,2603,2315,1208
1,sudoku,2026-03-30 20:29:50,336613,119586,41906,45072,19857,11348,8235,4253
1,sudoku,2026-03-30 20:29:51,120453,17623,8255,5768,7039,1510,3830,1127
1,sudoku,2026-03-30 20:29:52,185272,13276,1851,1799,1372,833,688,170
1,sudoku,2026-03-30 20:29:53,15782,38877,31808,10880,10100,8925,14009,5872
1,sudoku,2026-03-30 20:29:54,53122,29032,20687,33862,13595,12355,3344,1729
1,sudoku,2026-03-30 20:29:55,71593,13429,11522,11319,19079,7037,3683,2964
1,sudoku,2026-03-30 20:29:56,103050,80718,52467,6186,11273,12700,3818,3060
1,sudoku,2026-03-30 20:29:57,24631,33378,18378,3387,12178,11553,15069,3279
1,sudoku,2026-03-30 20:29:58,11425,29814,10897,3515,10293,5032,5468,1532
1,sudoku,2026-03-30 20:29:59,88046,6279,3718,3307,2050,1783,1432,826
1,sudoku,2026-03-30 20:30:00,10130,60740,30230,6295,6576,13121,4952,2070
1,sudoku,2026-03-30 20:30:01,924,7926,4776,7713,3601,3463,848,693
1,sudoku,2026-03-30 20:30:02,8701,37684,19501,16457,7690,6617,5066,2993
1,sudoku,2026-03-30 20:30:03,7476,4118,1000,2278,1841,2507,1367,966
1,sudoku,2026-03-30 20:30:04,39385,16390,29509,12956,19060,6917,3987,3942
1,sudoku,2026-03-30 20:30:05,32406,44101,10721,11054,7200,6491,5719,3254
1,sudoku,2026-03-30 20:30:06,6485,4761,2905,17871,2862,6646,3970,3325
1,sudoku,2026-03-30 20:30:07,26609,24242,5940,9246,4004,6887,1996,2134
1,sudoku,2026-03-30 20:30:08,24263,88256,10012,22698,14626,6208,8008,3535
1,sudoku,2026-03-30 20:30:09,157014,11136,9109,2123,7111,2737,1382,1032
1,sudoku,2026-03-30 20:30:10,36356,28780,11155,24676,3342,5178,6733,3208
1,sudoku,2026-03-30 20:30:11,7667,5265,3730,5408,4926,1017,2373,734
1,sudoku,2026-03-30 20:30:12,83584,31159,20823,7040,33634,5308,6491,4156
1,sudoku,2026-03-30 20:30:13,127255,61552,24045,34046,19038,14344,4578,5708
1,sudoku,2026-03-30 20:30:14,9207,37956,20331,9235,6142,11862,4930,1648
1,sudoku,2026-03-30 20:30:15,115493,26529,15107,4381,1332,2122,2274,667
1,sudoku,2026-03-30 20:30:16,23672,11510,1419,2076,3122,2233,2718,1190
1,sudoku,2026-03-30 20:30:17,11534,60822,2926,8916,5973,4012,4886,1035
1,sudoku,2026-03-30 20:30:18,9917,8891,10000,10177,7818,5591,2132,1161
1,sudoku,2026-03-30 20:30:19,72021,54115,18393,13462,40235,10288,2820,4078
1,sudoku,2026-03-30 20:30:20,12248,14694,10358,1887,4352,10207,3313,2161
1,sudoku,2026-03-30 20:30:21,451213,14699,4378,42844,22246,11236,20630,5527
1,sudoku,2026-03-30 20:30:22,12592,43543,16555,32480,5057,8149,10306,3243
1,sudoku,2026-03-30 20:30:23,56605,34369,13986,8313,24125,8671,2858,3666
1,sudoku,2026-03-30 20:30:24,7181,16426,3489,4231,7347,2412,1560,1449
1,sudoku,2026-03-30 20:30:25,10443,6891,1990,2369,4108,1298,1281,605
1,sudoku,2026-03-30 20:30:26,200114,83634,8490,11462,3881,5191,1485,1242
1,sudoku,2026-03-30 20:30:27,754776,43634,34420,11231,17538,14525,9001,5224
1,sudoku,2026-03-30 20:30:28,14958,10970,1869,2273,2780,1571,1059,744
1,sudoku,2026-03-30 20:30:29,20845,33298,6624,10199,12393,4129,4735,3488
1,sudoku,2026-03-30 20:30:30,11576,45669,37217,22738,29057,5966,5026,3556
1,sudoku,2026-03-30 20:30:31,30803,12492,2327,21559,9150,8310,5835,957
