Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
1,relax,2026-03-30 20:14:07,1083729,1871462,96399,774727,358808,360543,122560,30118
1,relax,2026-03-30 20:14:08,1436747,853918,117809,50394,120370,62602,71307,112390
1,relax,2026-03-30 20:14:09,1540308,483800,191888,56413,42389,21534,29397,25145
1,relax,2026-03-30 20:14:10,269551,89172,77121,213839,103058,50737,16564,15407
1,relax,2026-03-30 20:14:11,62649,137131,61646,75899,43576,44338,28029,11009
1,relax,2026-03-30 20:14:12,1023056,4976,1473,5016,2876,1239,1103,419
1,relax,2026-03-30 20:14:12,11,3,2,0,1,0,0,0
1,relax,2026-03-30 20:14:13,1124836,709761,171277,150169,112071,105775,134682,156351
1,relax,2026-03-30 20:14:14,279132,92890,15513,31135,17797,16791,14278,12155
1,relax,2026-03-30 20:14:16,0,0,0,0,0,0,0,0
1,relax,2026-03-30 20:14:16,3,1,0,0,1,2,0,0
1,relax,2026-03-30 20:14:17,667260,332799,13058,98280,69283,108880,54959,63685
1,relax,2026-03-30 20:14:18,3336251,441978,64606,133708,282889,146854,44551,56815
1,relax,2026-03-30 20:14:19,1080722,294222,45634,107800,79971,32287,32385,9999
1,relax,2026-03-30 20:14:20,1987059,661604,336394,272680,223094,142023,92121,89721
1,relax,2026-03-30 20:14:21,383781,447304,127268,49453,103555,99231,109167,48790
1,relax,2026-03-30 20:14:22,594059,544147,181330,208755,205491,60478,38637,55503
1,relax,2026-03-30 20:14:23,361934,286735,155131,117571,98135,71484,17576,7355
1,relax,2026-03-30 20:14:24,149216,58777,23685,45253,26033,44865,40860,45498
1,relax,2026-03-30 20:14:25,1313282,238054,59249,59220,25382,12279,5504,16194
1,relax,2026-03-30 20:14:26,905323,223411,81998,121618,49740,60783,86676,80092
1,relax,2026-03-30 20:14:27,212237,45105,20143,59324,50107,36738,21764,48188
1,relax,2026-03-30 20:14:28,397,167,64,36,24,21,4,4
1,relax,2026-03-30 20:14:29,4,1,0,1,1,2,1,0
1,relax,2026-03-30 20:14:30,259318,32078,16385,14676,14272,12092,2156,1338
1,relax,2026-03-30 20:14:31,755467,484199,74595,315378,103578,93900,283028,147946
1,relax,2026-03-30 20:14:32,696951,40591,26528,14576,17114,5684,1717,1222
1,relax,2026-03-30 20:14:33,621414,55754,23944,32707,47835,10776,8920,6133
1,relax,2026-03-30 20:14:34,360341,27806,34529,56988,78066,36263,12056,7812
1,relax,2026-03-30 20:14:35,1328280,169065,15690,21682,317931,299706,117706,102633
1,relax,2026-03-30 20:14:36,470400,190036,40370,221108,123797,80225,53833,90673
1,relax,2026-03-30 20:14:37,1531320,170306,48642,31494,105457,57809,35149,27386
1,relax,2026-03-30 20:14:38,973047,149923,26117,48324,14523,47116,16988,24353
1,relax,2026-03-30 20:14:39,321631,167860,545907,261974,635648,244182,281434,233840
1,relax,2026-03-30 20:14:40,58395,55474,12462,24517,5726,15389,32215,21442
1,relax,2026-03-30 20:14:41,591717,207332,51000,102522,56401,60184,15875,24320
1,relax,2026-03-30 20:14:42,1306373,214293,109961,202919,182392,197882,61802,88796
1,relax,2026-03-30 20:14:43,918368,81385,42303,37026,19542,39358,41987,34318
1,relax,2026-03-30 20:14:44,368124,211611,62152,72390,8579,49295,11062,8559
1,relax,2026-03-30 20:14:45,2331005,691520,229524,190625,161336,150053,112765,91448
1,relax,2026-03-30 20:14:46,1046282,765806,62673,76662,192108,112688,66594,172528
1,relax,2026-03-30 20:14:47,1424460,1436239,539466,516439,430562,163897,186373,183053
1,relax,2026-03-30 20:14:48,322345,46987,16748,12124,7850,6919,886,2548
1,relax,2026-03-30 20:14:49,650112,353099,118209,61921,134965,130650,45885,61886
1,relax,2026-03-30 20:14:50,2490307,362322,8188,40073,81932,94590,59608,36932
1,relax,2026-03-30 20:14:51,821285,39198,55378,36410,17878,35307,24058,40927
1,relax,2026-03-30 20:14:52,1120089,424348,207268,128193,120344,126056,106309,44118
1,relax,2026-03-30 20:14:53,1896318,130319,183863,132434,114302,94877,146917,60925
1,relax,2026-03-30 20:14:54,1410317,180535,159766,87260,115495,168126,42393,90967
1,relax,2026-03-30 20:14:55,45034,12503,12216,3365,13302,14206,6734,2361
1,relax,2026-03-30 20:14:56,513891,67569,21680,59327,74383,63490,24965,22679
1,relax,2026-03-30 20:14:57,327215,78831,48624,23047,31971,17995,4274,4541
1,relax,2026-03-30 20:14:58,3224567,739818,172257,315871,383159,328693,137305,100011
1,relax,2026-03-30 20:14:59,229434,46323,16791,6811,26205,22203,37911,8631
1,relax,2026-03-30 20:15:00,194028,102501,15523,43183,68736,54920,36349,17748
1,relax,2026-03-30 20:15:01,684917,766010,357699,317355,55810,224145,238426,163886
1,relax,2026-03-30 20:15:02,317229,16492,7966,12768,7241,8125,2273,1034
1,relax,2026-03-30 20:15:03,3372269,694992,129887,74512,271305,411812,160897,23562
