Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
4,focus,2026-04-03 11:12:17,1947278,376662,48641,67480,45628,23418,3878,3405
4,focus,2026-04-03 11:12:18,934393,331553,25355,174031,265935,105593,43915,11826
4,focus,2026-04-03 11:12:19,298044,69694,16087,36078,6982,10708,7912,1655
4,focus,2026-04-03 11:12:20,1101952,56655,363,6049,11971,9935,3602,1932
4,focus,2026-04-03 11:12:24,232897,177448,19970,16128,13610,8110,2394,1421
4,focus,2026-04-03 11:12:25,223379,239695,21043,30784,33743,15363,2604,5897
4,focus,2026-04-03 11:12:26,1110199,606938,105653,34878,29160,37819,14190,10741
4,focus,2026-04-03 11:12:27,1370633,802610,237225,126215,144222,268807,59083,29296
4,focus,2026-04-03 11:12:32,1326760,196360,124753,79939,50328,23778,16342,5328
4,focus,2026-04-03 11:12:33,1347863,366830,95594,31746,28295,30840,11250,7427
4,focus,2026-04-03 11:12:34,149139,67667,18637,5764,12547,8034,2526,1371
4,focus,2026-04-03 11:12:35,1008562,13464,4010,5562,6836,4331,1186,3215
4,focus,2026-04-03 11:12:36,45436,13398,4543,260,1632,659,300,280
4,focus,2026-04-03 11:12:37,219365,63986,9585,17967,12875,7706,1771,2814
4,focus,2026-04-03 11:12:39,226553,53938,9045,5598,8235,4089,3096,2344
4,focus,2026-04-03 11:12:40,1342551,167401,42143,26270,16702,20258,20171,4998
4,focus,2026-04-03 11:12:41,2762269,261878,98610,46666,27709,18066,14969,6926
4,focus,2026-04-03 11:12:42,693491,444408,6112,100128,14752,20753,5796,3710
4,focus,2026-04-03 11:12:42,123438,20430,3733,462,2575,888,770,419
4,focus,2026-04-03 11:12:44,729208,78077,26145,8170,6904,5359,2586,3626
4,focus,2026-04-03 11:12:55,1187391,505118,329192,379717,230615,121488,57125,29436
4,focus,2026-04-03 11:14:42,418838,123071,11372,36208,18365,21090,23859,5073
4,focus,2026-04-03 11:14:43,2185387,233105,22428,44573,32509,52435,23102,5407
4,focus,2026-04-03 11:14:44,214692,50108,12316,12483,18136,10979,26659,2939
4,focus,2026-04-03 11:14:45,117651,30923,18079,36673,20602,30440,3644,3464
4,focus,2026-04-03 11:14:47,961450,127773,54606,33668,38546,34956,56688,20942
4,focus,2026-04-03 11:14:49,504094,214436,95086,85548,63758,141450,127829,89223
4,focus,2026-04-03 11:14:53,1161975,145958,40402,95152,96702,80143,35514,24694
4,focus,2026-04-03 11:14:53,2495156,466919,147458,188551,152050,143167,44046,9250
4,focus,2026-04-03 11:14:54,63,183,186,186,206,162,69,28
4,focus,2026-04-03 11:14:55,169219,285524,71831,90342,24055,30217,16998,6823
4,focus,2026-04-03 11:14:56,614685,244441,97787,9579,19380,7964,4581,4343
4,focus,2026-04-03 11:14:57,1516553,375881,9842,40967,53865,98120,61074,37349
4,focus,2026-04-03 11:14:58,2891003,559644,89420,307853,111449,131454,37233,39026
4,focus,2026-04-03 11:14:59,1472771,155294,36426,55377,26236,13861,3178,2371
4,focus,2026-04-03 11:15:00,695057,210224,45709,17961,36454,34046,23229,7866
4,focus,2026-04-03 11:15:01,530869,285602,104881,45421,25886,127038,86560,51000
4,focus,2026-04-03 11:15:02,540161,199157,69625,120575,50466,34559,61892,53124
4,focus,2026-04-03 11:15:03,168043,52233,6948,14857,9772,20953,20037,9919
4,focus,2026-04-03 11:15:04,924596,359445,88314,135095,102492,151614,132978,103269
4,focus,2026-04-03 11:15:05,44091,20767,14884,1655,5384,15876,9973,6583
4,focus,2026-04-03 11:15:06,1552255,268045,73570,57938,73504,52506,14714,5779
4,focus,2026-04-03 11:15:07,653342,207363,23841,79932,24370,185900,99309,36842
4,focus,2026-04-03 11:15:08,2797758,2036632,453968,266776,117518,54875,23196,16013
4,focus,2026-04-03 11:15:09,610309,96773,14510,4219,5694,3570,1606,631
4,focus,2026-04-03 11:15:10,1017246,82593,26535,28244,14759,6095,4101,1660
4,focus,2026-04-03 11:15:11,796832,143555,29238,49423,35035,85959,23598,10472
4,focus,2026-04-03 11:15:12,599003,72760,17172,23480,11156,22688,6269,5600
4,focus,2026-04-03 11:15:13,3388879,176793,103035,101563,212706,160979,204436,182767
4,focus,2026-04-03 11:15:14,878846,133331,160684,218982,176892,79560,44132,70735
4,focus,2026-04-03 11:15:15,991597,1231697,531418,246284,258717,189543,204732,86204
4,focus,2026-04-03 11:15:16,742227,287757,38300,167319,125102,138606,38258,91423
4,focus,2026-04-03 11:15:17,630529,1377691,782106,326987,257520,198786,76904,44560
4,focus,2026-04-03 11:15:18,539046,843441,136002,212919,398295,211579,145820,45471
4,focus,2026-04-03 11:15:18,771055,111315,11742,73087,34375,29071,13365,2911
4,focus,2026-04-03 11:15:20,1108724,566331,20598,82839,117822,95690,32799,12406
4,focus,2026-04-03 11:15:20,561275,352290,23273,99040,136923,74409,25923,15916
4,focus,2026-04-03 11:15:22,1264676,106562,86542,91262,12979,76445,31823,32164
4,focus,2026-04-03 11:15:22,1755842,977022,237959,98463,112087,102530,74082,11286
4,focus,2026-04-03 11:15:23,1173688,146601,20719,31191,47232,38062,19051,6193
