Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
1,focus,2026-03-30 20:35:14,265629,27580,14273,8440,23257,11307,7619,2547
1,focus,2026-03-30 20:35:15,81596,7513,4529,1800,2005,1130,765,179
1,focus,2026-03-30 20:35:16,293750,39613,8676,1047,4246,878,798,460
1,focus,2026-03-30 20:35:17,30254,11275,5306,4085,4448,2259,1221,470
1,focus,2026-03-30 20:35:18,3543,3241,2059,3110,5315,1495,519,379
1,focus,2026-03-30 20:35:19,116594,6935,4077,1744,1481,561,396,240
1,focus,2026-03-30 20:35:20,20617,35839,5743,7247,7664,4881,2339,971
1,focus,2026-03-30 20:35:21,13692,7596,10015,5022,8756,5203,2875,2646
1,focus,2026-03-30 20:35:22,154906,61283,7585,13647,7006,2586,939,817
1,focus,2026-03-30 20:35:23,1031504,157017,11223,25966,7504,8984,2346,2864
1,focus,2026-03-30 20:35:24,22279,14869,7247,2303,5154,2410,1636,657
1,focus,2026-03-30 20:35:25,257573,116757,23401,12837,11620,5715,4073,4176
1,focus,2026-03-30 20:35:26,12134,10982,5983,1580,628,1609,483,200
1,focus,2026-03-30 20:35:27,25437,21656,6721,4851,4888,6267,1600,1591
1,focus,2026-03-30 20:35:28,5617,9831,1159,5359,4865,7027,4650,722
1,focus,2026-03-30 20:35:29,187974,19664,2229,4024,2917,998,453,94
1,focus,2026-03-30 20:35:30,12504,20785,12166,8461,5969,10597,1849,663
1,focus,2026-03-30 20:35:31,46985,34442,713,1729,2769,2186,517,314
1,focus,2026-03-30 20:35:32,122719,30058,3428,8343,4283,1539,1967,331
1,focus,2026-03-30 20:35:33,28139,25721,5457,1582,3349,2206,610,399
1,focus,2026-03-30 20:35:34,151863,20853,10485,10014,2019,582,711,703
1,focus,2026-03-30 20:35:35,6106,4593,5627,6530,4807,1408,901,395
1,focus,2026-03-30 20:35:36,107967,25949,4359,3443,5462,3366,617,447
1,focus,2026-03-30 20:35:37,41555,40450,25825,13688,1316,2531,1913,3341
1,focus,2026-03-30 20:35:38,88917,8250,1022,950,484,256,344,143
1,focus,2026-03-30 20:35:39,2269,6916,3967,1517,1117,923,687,306
1,focus,2026-03-30 20:35:40,1174,1819,11286,3024,1255,1320,857,572
1,focus,2026-03-30 20:35:41,80704,18352,10212,3872,2169,1428,925,1104
1,focus,2026-03-30 20:35:42,7252,5507,1267,6475,1305,1134,762,509
1,focus,2026-03-30 20:35:43,6702,27421,16336,5647,5232,4595,2690,1020
1,focus,2026-03-30 20:35:44,21675,19593,9913,31237,5428,3107,1897,2554
1,focus,2026-03-30 20:35:44,2300,26618,9166,16894,2713,6939,2045,1167
1,focus,2026-03-30 20:35:45,5313,17042,20342,12825,12726,4375,1263,3880
1,focus,2026-03-30 20:35:47,13165,22589,26553,18160,5868,5434,860,1200
1,focus,2026-03-30 20:35:47,26146,30498,2655,9505,15411,3869,5006,1283
1,focus,2026-03-30 20:35:48,38668,16323,3211,1417,1774,1248,272,397
