Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2,relax,2026-03-30 20:55:57,161496,92996,1207,18397,25035,13039,3825,1887
2,relax,2026-03-30 20:55:58,723304,581242,53892,69507,68347,61877,36811,16677
2,relax,2026-03-30 20:55:59,867915,176697,23582,35376,34296,15583,6567,2612
2,relax,2026-03-30 20:56:00,2497337,438635,88369,54863,20457,13628,5267,2326
2,relax,2026-03-30 20:56:01,998300,292085,140163,160543,134034,66550,17002,6143
2,relax,2026-03-30 20:56:02,677535,25075,7433,5333,10544,5799,3666,1761
2,relax,2026-03-30 20:56:03,292278,31982,2136,4737,7687,3866,3864,5755
2,relax,2026-03-30 20:56:04,1576017,269322,98267,38810,38330,20746,20863,10424
2,relax,2026-03-30 20:56:05,604978,154296,15165,22494,10028,19281,13151,4861
2,relax,2026-03-30 20:56:06,223663,12293,5395,8697,3494,4410,4760,2143
2,relax,2026-03-30 20:56:07,280434,77586,15050,23201,35820,9872,7362,3431
2,relax,2026-03-30 20:56:08,95095,13275,2204,5957,7216,7300,2862,1156
2,relax,2026-03-30 20:56:09,1492752,9670,18305,19343,6174,11351,4829,1720
2,relax,2026-03-30 20:56:10,196123,4010,4224,1107,2328,1169,1480,417
2,relax,2026-03-30 20:56:11,50658,14353,9728,8456,12455,5015,5519,3513
2,relax,2026-03-30 20:56:12,367287,59646,32368,14835,14750,4725,5517,603
2,relax,2026-03-30 20:56:13,897738,22355,8782,11155,6488,5879,1911,3391
2,relax,2026-03-30 20:56:14,281670,90827,11658,7598,8168,3114,6649,2462
2,relax,2026-03-30 20:56:15,785102,51351,721,6423,8836,4478,7516,5179
2,relax,2026-03-30 20:56:16,6418,16650,11755,11571,9947,4007,2850,2363
2,relax,2026-03-30 20:56:17,148117,86603,49864,50150,105082,26067,18191,6686
2,relax,2026-03-30 20:56:18,842130,67281,6063,5651,44012,18468,11635,7907
2,relax,2026-03-30 20:56:19,392909,50804,2198,2481,4943,13690,3380,3478
2,relax,2026-03-30 20:56:20,368305,33208,8171,3681,3590,1853,1913,799
2,relax,2026-03-30 20:56:21,87400,12603,24559,7454,3292,9570,5846,2314
2,relax,2026-03-30 20:56:22,289662,443739,11897,59864,12055,26517,16092,4586
2,relax,2026-03-30 20:56:23,633227,213560,98680,39598,28005,31297,16934,22432
2,relax,2026-03-30 20:56:24,2141821,633774,24691,50160,112360,93307,22074,10754
2,relax,2026-03-30 20:56:25,129437,40721,5567,2380,1632,4334,2157,285
2,relax,2026-03-30 20:56:26,675989,99240,31649,20290,24956,42744,14880,3819
2,relax,2026-03-30 20:56:27,1085996,6255,9969,4845,10184,4445,3027,906
2,relax,2026-03-30 20:56:28,94489,15672,1636,1583,1449,1780,1090,438
2,relax,2026-03-30 20:56:29,594141,71520,99573,26685,24062,23646,33336,11271
2,relax,2026-03-30 20:56:30,182139,51247,16053,30687,6606,20549,13566,4679
2,relax,2026-03-30 20:56:31,200655,9312,1049,836,3724,2168,1192,680
2,relax,2026-03-30 20:56:32,2036483,168823,44606,33140,13903,31086,33922,17344
2,relax,2026-03-30 20:56:33,301916,350461,28458,14781,21360,27758,22861,10093
2,relax,2026-03-30 20:56:34,118594,68446,2098,3923,17383,4657,2493,3436
2,relax,2026-03-30 20:56:35,153852,8924,5786,1693,3367,4070,6009,2508
