Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
0,focus,2026-03-29 21:29:29,6182,2087,1249,636,1835,2321,494,577
0,focus,2026-03-29 21:29:30,170809,36930,12227,11658,13626,9208,1930,830
0,focus,2026-03-29 21:29:31,3622,7847,4351,4551,1114,2248,2304,558
0,focus,2026-03-29 21:29:32,29153,27242,13204,6690,6704,3759,7179,2352
0,focus,2026-03-29 21:29:33,30592,47577,8933,2224,8497,3874,949,862
0,focus,2026-03-29 21:29:34,4629,8334,411,2708,5663,1775,587,539
0,focus,2026-03-29 21:29:35,165685,22410,7989,2721,2996,1131,361,509
0,focus,2026-03-29 21:29:36,38801,17562,14547,2180,6005,1374,581,651
0,focus,2026-03-29 21:29:37,1639547,399763,41650,10374,23398,13797,5513,2849
0,focus,2026-03-29 21:29:38,6401,5512,2932,581,2160,1140,655,465
0,focus,2026-03-29 21:29:39,115646,9718,6311,8827,4491,1508,1840,260
0,focus,2026-03-29 21:29:40,160791,48526,1198,10080,11851,11418,2737,1124
0,focus,2026-03-29 21:29:41,98934,5388,995,2803,1689,391,498,310
0,focus,2026-03-29 21:29:42,7914,3363,20422,8031,9017,2751,6051,1335
0,focus,2026-03-29 21:29:43,51474,34578,21925,18916,31619,20488,3443,3092
0,focus,2026-03-29 21:29:44,707162,47251,11759,9529,8507,3707,1200,1066
0,focus,2026-03-29 21:29:45,14004,5558,5912,9733,5587,4314,3695,1111
0,focus,2026-03-29 21:29:46,3064,14499,2874,6156,7837,5427,3003,4108
0,focus,2026-03-29 21:29:47,200800,31926,2569,3481,1215,1805,1108,913
0,focus,2026-03-29 21:29:48,83935,25521,10179,6735,2014,5741,1348,897
0,focus,2026-03-29 21:29:49,178391,36454,8653,2210,5376,4316,1587,557
0,focus,2026-03-29 21:29:50,302826,29692,2392,719,2887,955,818,558
0,focus,2026-03-29 21:29:50,37936,12579,3032,3998,2368,2374,864,907
0,focus,2026-03-29 21:29:51,56614,44552,3095,2477,4970,4262,955,518
0,focus,2026-03-29 21:29:52,95716,8081,2535,10260,2677,3361,844,280
0,focus,2026-03-29 21:29:53,26169,9907,1338,992,1508,1268,1646,545
0,focus,2026-03-29 21:29:54,14696,4766,1034,1738,1665,1003,570,774
0,focus,2026-03-29 21:29:55,705,3540,4567,5828,2078,1992,934,322
0,focus,2026-03-29 21:29:56,100019,61952,11284,22818,12391,18257,3096,1435
0,focus,2026-03-29 21:29:57,151326,120779,87398,48648,57031,12215,5647,1423
0,focus,2026-03-29 21:29:58,137924,32922,16132,21457,5090,8024,4547,2249
0,focus,2026-03-29 21:29:59,172994,67036,36119,3314,4520,1123,1373,494
0,focus,2026-03-29 21:30:00,78842,57727,9403,7367,2577,4501,2004,390
0,focus,2026-03-29 21:30:01,1080728,187529,101090,79708,41766,36582,10505,5674
0,focus,2026-03-29 21:30:02,284558,33614,6031,4425,2050,1210,1813,580
0,focus,2026-03-29 21:30:03,48462,13354,3182,4825,4711,3086,1162,1123
0,focus,2026-03-29 21:30:04,110951,19547,1180,1645,1224,761,350,232
0,focus,2026-03-29 21:30:05,105315,9467,2451,2784,4760,5018,1218,1164
0,focus,2026-03-29 21:30:06,127856,54584,18485,3783,5817,1679,706,573
0,focus,2026-03-29 21:30:07,8288,3060,3115,2512,1499,1661,726,196
0,focus,2026-03-29 21:30:08,195131,13493,1106,1815,1382,464,327,209
0,focus,2026-03-29 21:30:09,107754,13203,10181,7020,2759,673,368,857
0,focus,2026-03-29 21:30:10,78371,31185,1850,1414,10279,3682,913,392
0,focus,2026-03-29 21:30:11,7669,2855,2784,13748,1717,1266,723,306
0,focus,2026-03-29 21:30:12,41944,26763,2729,3930,4197,2698,905,148
0,focus,2026-03-29 21:30:13,154600,26187,6703,9908,2395,1047,1059,161
0,focus,2026-03-29 21:30:14,97911,37075,3904,990,4034,1633,990,459
0,focus,2026-03-29 21:30:15,2495,5524,1181,2262,1805,1260,1426,339
