Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
3,focus,2026-04-03 10:53:55,1248631,538934,31443,74656,75138,145119,60313,9313
3,focus,2026-04-03 10:53:56,708761,131135,54532,53373,32100,48651,21424,4125
3,focus,2026-04-03 10:53:57,1598717,188948,41369,44714,86995,23608,11343,12187
3,focus,2026-04-03 10:53:58,1648907,500479,61092,176979,254423,132073,43287,49468
3,focus,2026-04-03 10:53:59,1139594,245415,110569,79002,69387,295251,67453,75404
3,focus,2026-04-03 10:54:00,2668035,1024199,102849,138795,466903,167618,92446,28955
3,focus,2026-04-03 10:54:01,1280224,918607,186789,119164,141718,203925,64430,24095
3,focus,2026-04-03 10:54:02,1100775,728293,367695,251592,271318,185078,144242,164459
3,focus,2026-04-03 10:54:03,158325,23220,35011,12504,33281,51496,23552,29062
3,focus,2026-04-03 10:54:04,2305060,207457,103961,110530,117751,194082,81515,58012
3,focus,2026-04-03 10:54:05,1401683,790150,675896,516304,291934,479468,108045,202002
3,focus,2026-04-03 10:54:06,485896,214404,65060,140780,258935,159406,73155,73161
3,focus,2026-04-03 10:54:07,3797292,1067627,833781,335792,142177,200317,72913,65476
3,focus,2026-04-03 10:54:08,477187,128569,136204,80994,41402,19963,12613,10812
3,focus,2026-04-03 10:54:09,775456,395469,104878,52549,125720,59607,170149,28767
3,focus,2026-04-03 10:54:10,1336990,532587,21934,36739,36940,167930,82983,129943
3,focus,2026-04-03 10:54:11,20540,18759,8324,8112,6471,2035,1299,672
3,focus,2026-04-03 10:54:12,654671,46656,5747,16003,8615,5174,5870,1388
3,focus,2026-04-03 10:54:13,330330,33222,8930,6157,8930,7199,1711,986
3,focus,2026-04-03 10:54:14,530210,34621,13459,14246,10686,25443,12995,3555
3,focus,2026-04-03 10:54:15,1838324,1303963,130790,132934,114057,150836,70739,38280
3,focus,2026-04-03 10:54:16,1048839,101335,15086,64259,38877,49144,42763,25440
3,focus,2026-04-03 10:54:17,1086494,53429,49204,89225,64037,175437,77934,81211
3,focus,2026-04-03 10:54:18,172829,8935,1534,669,375,241,254,103
3,focus,2026-04-03 10:54:19,1740,1923,956,932,590,131,420,85
3,focus,2026-04-03 10:54:20,265703,17357,10508,3009,4685,6757,2856,853
3,focus,2026-04-03 10:54:21,293250,42582,29665,18865,34495,24251,4115,1777
3,focus,2026-04-03 10:54:22,727059,987427,275060,91317,62059,179251,275270,43919
3,focus,2026-04-03 10:54:23,1983172,331410,270534,168117,392785,75524,110855,123519
3,focus,2026-04-03 10:54:24,938417,799059,185480,53922,83440,68103,24535,8662
3,focus,2026-04-03 10:54:25,1377647,106035,24693,28712,29045,19556,7022,3121
3,focus,2026-04-03 10:54:26,611018,300121,85498,229605,89680,90572,24425,22561
